src_node_id,dst_node_id
7558,7559
8074,8075
5812,5813
286,287
4248,3367
7558,4177
152,152
7558,7559
9179,9180
1886,152
9328,471
8060,1259
7031,1606
878,152
4686,4687
7031,1606
878,152
294,298
4686,4688
9328,471
6395,6396
2117,2119
878,152
294,295
485,486
1606,1607
6395,6396
8164,8167
2117,2119
6395,6396
5772,5773
3168,7917
9325,9326
7031,1606
878,152
9249,2435
294,298
1886,152
8164,5801
6396,6725
9328,1447
9328,9329
9328,9332
2581,6133
9256,9257
302,4177
4739,3965
2127,2130
4686,4687
4686,4687
2127,2129
7821,5439
8082,6513
8082,6513
8082,6513
8082,6513
8082,6513
2117,2118
8644,4857
9256,9257
9256,9257
7821,5439
7144,7146
9249,746
8644,4857
9256,2246
7821,5439
9328,751
7022,6540
6686,4165
7022,6540
745,746
6819,6820
4739,3965
6686,4165
295,298
6133,2581
7821,5439
9256,2246
7821,5439
2581,1259
7821,5439
2117,38
2117,38
2117,38
3367,4643
7692,7693
7692,7693
5896,5897
7692,7693
7249,7248
8425,6719
7692,5400
5120,7248
7692,7693
5120,7248
6947,5814
745,751
8549,4644
7692,38
5439,49
4165,49
6513,49
6540,49
7146,49
6725,49
3965,49
2246,49
486,49
4857,49
9256,2246
298,49
2118,49
4688,49
8425,6719
6819,4540
745,751
746,2941
7692,7693
4544,4546
4546,49
7692,7693
2117,38
7692,7693
485,486
7692,7693
486,49
6819,4540
3537,4500
4540,49
4500,49
8610,8611
484,486
3242,2246
3367,4643
4726,57
2246,49
6947,5814
8496,6762
1232,7740
2246,49
7917,38
8610,4180
745,752
3537,4500
7355,7356
3367,2894
5814,49
7692,7153
7692,7153
745,750
1283,8421
9273,8312
9273,8312
2948,2828
2948,2828
629,630
629,38
5849,5850
745,748
4106,4105
486,49
7248,49
4644,49
2894,49
7740,49
5897,5896
5850,49
4180,49
630,49
8644,8645
6732,1693
4105,49
3367,2894
7692,7153
5801,49
7202,5197
2828,49
7153,49
9328,2342
57,49
3367,2894
4500,49
7153,49
7692,7153
7692,7153
7202,5197
2894,49
750,745
8164,8165
5120,7248
7153,49
511,512
4106,7649
9263,2767
512,49
8644,8645
7202,5197
7248,49
2894,49
1693,49
6762,49
7153,49
2767,49
745,752
511,512
7528,2468
2129,6640
2129,6640
512,49
7528,2468
1873,1874
5120,7248
6640,49
2468,49
745,750
4106,4104
6732,1693
7692,7153
1874,49
1693,49
7248,49
4104,4105
4712,4713
4104,4106
8798,4283
7649,4106
6732,1693
4261,584
4105,49
7153,49
1873,1874
1693,49
745,748
4726,57
1874,49
57,49
7356,4261
2739,7860
584,49
8798,4283
9157,2653
4283,49
57,49
4739,4740
7144,7145
1980,57
7356,8908
6732,1693
1834,452
4739,4740
7356,8961
4039,2892
7356,5268
1693,49
57,49
4283,49
7356,4302
7356,2581
8071,5777
7356,3579
6193,5035
6454,6455
1834,452
1834,452
1834,452
5777,2017
452,49
7356,6133
664,665
55,57
6193,5035
613,614
57,49
452,49
2892,49
2739,7860
1873,1874
4216,4217
7356,8811
4585,4586
152,38
7356,7394
4217,49
4586,49
8610,6709
7356,9013
6759,6760
54,57
7356,8883
7356,9040
1874,49
7356,2240
57,49
8164,3168
8610,6709
152,3168
7356,6827
6455,49
8164,7917
7356,8980
8610,4180
7356,9056
4180,49
614,49
7356,8903
2017,49
7356,8923
7356,6067
8610,4180
7356,1440
7356,7767
54,56
152,7917
8611,4180
7356,8934
4180,49
152,7917
9249,2435
152,38
3387,2466
204,207
204,207
207,49
204,207
7356,2081
8700,6738
7356,7389
7356,8997
2466,49
207,49
7356,7471
8691,4572
5477,2539
7356,8819
8700,6738
7356,8493
5477,2539
6738,49
7356,496
4572,49
8700,4744
8607,2072
6127,6129
8607,2072
6127,6129
7356,8879
4261,584
665,38
2653,7004
7356,5275
6127,6129
8691,4572
584,49
2072,49
7356,5364
665,38
2653,7003
7356,8827
1552,1554
7356,8901
7356,8955
7356,8801
7356,7398
6127,6128
8691,4572
7356,3652
7356,8818
665,9124
1552,1554
7356,8899
1554,49
6128,49
4572,49
7356,8868
7356,9071
7356,9051
7356,6811
7356,1195
7356,8918
7356,8335
7356,8821
7356,8823
7356,2119
7356,7836
7356,7045
161,162
161,162
5612,3763
7356,8931
7356,8929
6628,6323
7356,2957
7356,1458
5612,3763
1552,1554
7356,8838
162,49
7356,8964
1552,1553
1554,49
7356,8971
161,162
7356,6766
7356,5351
1552,1554
7356,8119
7356,8906
6965,6179
1554,49
7356,8847
162,49
7356,7205
7356,490
7356,2357
7356,7269
1552,1553
7356,8881
3763,5612
7356,8850
6179,49
7356,5112
1552,1553
6628,6323
6628,6323
7356,736
1232,7740
7356,4742
7356,8862
1552,1553
2168,2169
1552,1553
303,304
7356,2425
7356,1038
7356,3500
7356,1335
1552,1554
7740,49
7356,9009
3763,1798
7356,8435
7356,4815
7356,8959
7356,1232
8082,8084
7356,8840
1798,49
2168,2169
2168,2169
2168,2169
7356,1719
303,57
7356,8985
304,49
1554,49
7356,1683
7356,8937
7356,5074
6628,6323
7356,2885
7356,6390
9178,8884
7356,9004
57,49
3763,1798
7356,5197
7356,8973
7356,2661
7356,1124
7356,4120
7356,8963
1798,49
7356,2918
7356,8765
3914,3913
7356,7015
7356,8928
3913,3914
4216,4217
7356,8607
7356,6978
7356,3187
4216,4217
4217,49
7356,3243
7356,6396
7356,7802
7356,8974
4216,4217
7356,6719
7356,6759
4217,49
7356,8783
7356,9048
6558,3913
7356,4189
6558,3913
7356,3719
7356,3290
7356,6286
8205,5872
6558,3913
1602,1603
7356,8137
8433,6293
2129,6640
7356,8869
7356,5185
7356,6585
7356,5098
1602,1603
6640,49
4057,1533
1124,6239
7356,8947
8205,5872
7356,146
1232,7740
6628,6323
2147,2148
7356,7026
8624,6199
4057,1533
7356,4499
7740,49
5872,49
7356,7295
745,747
7356,43
7356,2103
2147,2148
6199,49
6293,49
6239,49
2147,2149
4057,4056
4057,7371
4179,4183
7356,4721
7356,9068
7356,3526
4057,4056
7356,8247
3907,1949
4179,4183
7356,294
2148,2147
7356,4274
4179,4184
7356,359
7356,4390
7356,2705
1533,659
4179,4185
7356,8169
4056,658
7356,8902
7356,244
4179,4181
7356,6985
7356,5134
745,747
7356,9065
8164,66
4120,38
7356,8594
7356,2846
2147,2149
2149,49
658,49
7356,6433
7356,3537
4179,4182
7356,4055
7356,8624
7356,3959
7356,8538
7356,9017
1533,1532
7356,7684
7356,9067
1533,1532
7356,6583
7356,9054
7356,5040
2158,2157
1949,1369
6275,6276
4179,4180
7356,7206
7356,3387
7356,5358
6628,6629
9065,8486
251,254
1232,7740
1369,49
4180,49
1532,1533
4120,38
6742,5457
2756,66
1949,66
5457,49
4313,5122
7740,49
8716,66
7356,5346
3797,6835
7356,4585
4313,2396
7356,1705
7356,8255
274,275
7356,395
274,275
7356,3638
7356,8672
7356,7987
1949,1369
1369,49
613,614
7356,1733
8712,66
7356,8994
9178,66
7356,3609
7356,8911
7356,152
7540,66
614,49
7356,9022
7356,2811
7356,9057
7356,4559
2739,3245
8203,2191
1949,66
7540,66
8203,2191
2191,49
5035,6193
3245,49
8712,66
7540,66
7295,4546
6742,66
9226,66
7540,66
4305,4306
1834,452
7540,66
4546,49
452,49
6819,4540
2756,66
1584,1583
7284,2556
3907,66
4539,4540
4540,49
6354,66
4057,1533
1533,66
3947,3948
2739,66
7356,9039
7356,8952
7356,9043
7356,8854
7356,3328
7356,4484
3948,49
6354,66
7356,9024
7356,5904
7356,8633
7356,5148
7356,9042
7356,9066
8351,66
7356,7576
2739,66
7356,7580
7356,4106
2556,49
7356,8835
7356,8960
7356,8858
7356,8848
7356,8837
7356,8853
7356,5545
7356,5168
8607,66
7356,8701
1368,66
7356,3168
8607,66
7356,6892
7356,2628
7356,7607
7356,4360
3955,3956
7356,8943
7356,9000
7356,1602
7356,8860
7356,2947
7356,4610
7356,6530
3955,3956
9094,9095
7356,9050
7356,8861
3955,3956
4581,66
7356,8830
7277,66
7356,6352
7356,6608
7356,9010
7356,7695
3947,66
7356,5349
9095,49
8726,66
7356,7657
3537,4500
3947,66
4686,66
8607,66
8607,2072
4500,49
7284,66
3956,49
1368,1369
8778,1368
8607,66
2072,49
1369,49
2147,66
3947,66
7356,6807
7356,6305
2147,66
7356,3329
7356,8990
7356,9072
7356,7467
7356,2927
7356,8824
4581,66
7356,4871
7356,7283
7356,4843
7356,2606
7356,6350
7356,484
2127,66
7356,8905
7356,7766
4056,4057
7371,4057
6450,6451
745,66
1583,1584
7967,7968
4305,4306
251,66
745,66
6451,49
4305,4306
1692,66
9322,66
6127,66
1692,66
4305,66
8431,7978
8203,2191
7205,66
1692,66
1733,38
2191,49
5030,66
1584,5657
3913,66
6558,66
6558,66
7984,66
2459,66
4544,4546
4794,2459
4794,2459
2653,66
1793,66
5030,66
1793,66
7540,66
4305,66
4546,49
4794,2459
4794,2459
6401,66
2459,66
7984,66
6628,38
4556,4557
7984,66
9322,66
2459,66
4106,38
5030,6344
2459,66
2459,66
4167,657
2459,66
6749,66
2459,66
6344,49
4557,49
8300,7112
4794,66
4794,66
4794,66
7528,66
7112,49
6625,66
2129,66
8716,66
7471,66
4794,66
4794,66
8205,5872
4794,66
8179,8180
5872,49
7984,66
8716,66
752,66
5030,6344
752,66
2739,66
6344,49
7528,66
4305,66
4206,66
4206,66
1688,66
8716,66
752,66
