src_node_id,dst_node_id
1122787,586704
691477,586704
1220915,1220915
659700,958782
659700,586704
601495,586704
601495,914327
1222332,799745
972106,972106
972106,1174699
475752,586704
1190225,770661
1190225,1190225
106421,106421
628923,364125
628923,1150314
628923,784386
1023813,1023813
1168258,33131
308375,586704
136684,136684
333364,586704
365999,586704
1090887,586704
484530,341343
464710,615765
958782,586704
613077,794768
613077,423799
670107,586704
782011,586704
201368,586704
1182474,586704
594646,594646
562079,351259
976900,23192
848906,943473
781321,781321
46244,586704
184535,232746
1141101,997243
1141101,253319
923600,416870
923600,360249
232746,184535
1234825,876339
1234825,133296
205605,1224542
934287,737588
934287,918465
112400,112400
1189882,117590
1145513,679686
122307,1189882
379753,379753
1013794,1013794
679686,112949
574853,137322
574853,628923
574853,94328
574853,14222
110150,473804
175420,175420
405362,405362
405362,1234825
405362,737588
405362,448025
405362,886093
405362,300759
405362,752144
343728,901291
667823,939763
1134684,1008805
1193747,391288
875148,673544
976329,976329
54373,1002796
54373,574853
54373,304293
54373,803153
54373,59653
335463,1013562
335463,1029492
360249,177233
718395,718395
520639,654670
1255550,654241
387321,778163
564983,495729
73838,807510
979493,979493
550782,904996
398686,527882
932469,266655
79983,79983
917343,917343
494301,1132393
1106540,914022
408673,1257351
408673,527119
408673,445354
1081498,1081498
1081498,1255550
1192359,853907
1192359,485919
1192359,1189315
1192359,1187800
332649,332649
767740,89869
94328,68332
94328,210182
94328,1064529
94328,1268135
94328,133183
145686,1004890
858509,731236
250022,250022
1021406,178839
764473,1255550
621977,621977
81942,405362
1123314,1123314
1148233,68332
416870,429769
820443,1000932
514923,688504
68332,1255550
68332,679686
68332,68332
68332,557076
562270,423434
569608,184535
1024878,721035
862482,1045619
862482,384178
862482,537471
862482,571368
862482,1051417
862482,992724
602910,1191440
210182,953057
210182,642165
817949,799441
399136,399136
1000831,238952
1000831,203766
1000831,954623
126304,126304
878619,1198762
742593,16302
742593,1189315
742593,1150314
742593,867653
742593,233946
1189948,174787
295320,138044
1181380,68332
157021,157021
657531,657531
247953,658499
16302,625315
266655,423434
876339,366909
872703,854173
57359,57359
345656,266274
163101,871383
200941,200941
1133612,89869
202204,202204
854173,1204953
964418,710201
18049,1123314
18049,87083
18049,796893
882339,33718
89869,1133612
174787,608931
29903,1255550
29903,1176046
29903,417520
29903,527119
282227,656740
280370,679686
280370,225676
771366,876339
319200,214473
350714,1045619
1191440,329833
609831,609831
366909,366909
860318,1000831
742498,1170001
919540,919540
423799,440457
423799,823478
447677,651630
63521,63521
404779,404779
908708,215769
908708,1018033
838215,28768
838215,801745
838215,838215
838215,1268161
1072818,1072818
543936,1176223
1126281,896617
830584,742593
830584,1005388
1038290,862482
466127,299424
485919,1127623
485919,838215
485919,429769
485919,1177827
485919,452328
485919,892301
793097,29903
126556,892338
274647,1031782
274647,456304
998009,406032
998009,844367
998009,1029527
867653,963679
502594,659331
1113995,1113995
1052917,384178
1052917,414225
600870,485919
600870,574853
600870,1132393
600870,394703
600870,51231
600870,233696
298128,574145
1029492,68332
312117,356591
688504,68336
1182766,384178
1182766,1234825
1182766,1123531
1182766,447677
1182766,987914
1204596,148772
946443,85650
822717,967628
822717,184535
822717,569608
822717,394861
822717,1187008
822717,543864
822717,1158977
711711,82981
1216437,910911
1216437,451372
1216437,68332
1216437,54373
875398,875398
319818,384178
319818,793097
845311,15215
232164,298128
821098,821098
752144,157850
393149,227996
393149,393149
1123531,934832
179207,410940
245003,485919
231404,231404
243190,243190
80838,838215
80838,1236876
80838,373224
788269,788269
419015,211738
116774,1067040
51231,931842
157850,892338
158086,485919
823795,337388
751275,203038
751275,809259
557076,473804
724779,628923
653445,957814
7701,1178782
986381,581139
939763,841988
1182212,1178782
950007,148541
950007,1206850
1067040,905748
915414,495729
915414,1132393
43913,43913
83101,599075
530668,888503
215769,532396
550958,550958
1222166,986381
85238,85238
1195051,1195051
225097,861525
784386,908708
211738,673732
1114272,1114272
673732,112949
1204375,177547
82482,321379
276212,600870
781251,1189315
365443,105141
920231,574853
920231,1024279
803153,350714
716189,137321
396628,396628
866094,866094
1250905,1236876
134170,628505
1117520,136394
192018,649510
192018,1252539
192018,466127
454649,1011277
890738,890738
775688,757308
374703,374703
1204514,337388
199952,957814
1122794,645127
1229121,953057
1229121,86218
1091847,1091847
1091847,1021480
264826,372761
414740,414740
983030,708551
85650,157850
85650,517525
833827,715570
833827,1123531
833827,439647
833827,370338
749034,379182
1153966,1153966
953216,925070
1236876,1056488
1236876,1061783
1236876,421293
1236876,454649
952663,979775
952663,892338
337388,337388
337388,1220338
1108826,384178
1108826,521522
84639,1095037
1158977,1158977
401215,1067040
347446,347446
866957,54373
872358,872358
63073,63073
1267252,1267252
75970,758913
695809,625432
501699,501699
955032,227866
39285,39285
820797,892338
82981,422527
82981,1126635
654140,333576
163822,438989
565409,1088231
544004,544004
1099094,797069
557251,419015
1175183,405362
649631,245003
779069,261600
1240684,1221985
646106,1019364
646106,22725
646106,174787
820415,1050572
953423,105141
73213,199659
73213,1191440
848889,81942
105141,1126635
105141,1221540
105141,699065
266274,551808
530860,530860
284444,768622
640012,681934
531163,254507
555855,474345
25895,453132
691730,1021480
